source,target,value,shortname 
Acquisition,Allegheny County,2969649.48,R
Acquisition,Beaver County,226185.51,
Acquisition,Berks County,284689.4,
Acquisition,Bucks County,0,
Acquisition,Chester County,327045.83,
Acquisition,Cumberland County,0,
Acquisition,Dauphin County,248650.98,
Acquisition,Delaware County,142501.25,
Acquisition,Lancaster County,649892.54,
Acquisition,Lehigh County,1015153.65,
Acquisition,Luzerne County,314853.16,
Acquisition,Montgomery County,0,
Acquisition,Northhampton County,39252.11,
Acquisition,Washington County,453320.11,
Acquisition,Westmoreland County,211594.93,
Acquisition,York County,82166.37,
Acquisition,Blair County,270239.25,
Acquisition,Erie County,242116.56,
Acquisition,Cambria County,216650.68,
Acquisition,Lebanon County,0,
Acquisition,Philadelphia County,1577428.17,
Acquisition,Lackawanna County,116389.31,
Acquisition,Mercer County,44440.34,
Acquisition,Centre County,0,
Acquisition,Lycoming County,9761.29,
Economic Development,Allegheny County,4477779.06,R
Economic Development,Beaver County,232689.1,
Economic Development,Berks County,256833.98,
Economic Development,Bucks County,4977063.43,
Economic Development,Chester County,0,
Economic Development,Cumberland County,366400,
Economic Development,Dauphin County,0,
Economic Development,Delaware County,0,
Economic Development,Lancaster County,5000,
Economic Development,Lehigh County,28248.7,
Economic Development,Luzerne County,373582.18,
Economic Development,Montgomery County,77237.21,
Economic Development,Northhampton County,304450.26,
Economic Development,Washington County,0,
Economic Development,Westmoreland County,0,
Economic Development,York County,0,
Economic Development,Blair County,0,
Economic Development,Erie County,15867.9,
Economic Development,Cambria County,115543.91,
Economic Development,Lebanon County,0,
Economic Development,Philadelphia County,7145544.82,
Economic Development,Lackawanna County,40000,
Economic Development,Mercer County,0,
Economic Development,Centre County,0,
Economic Development,Lycoming County,0,
Housing,Allegheny County,4083743.67,R
Housing,Beaver County,815969.05,
Housing,Berks County,589674.81,
Housing,Bucks County,5489387.53,
Housing,Chester County,156123.4,
Housing,Cumberland County,257187.76,
Housing,Dauphin County,1165811.16,
Housing,Delaware County,1438161.65,
Housing,Lancaster County,3159448.96,
Housing,Lehigh County,3771691.59,
Housing,Luzerne County,208046.1,
Housing,Montgomery County,1196728.63,
Housing,Northhampton County,608294.56,
Housing,Washington County,1243578.65,
Housing,Westmoreland County,127500.88,
Housing,York County,748368.54,
Housing,Blair County,563457.77,
Housing,Erie County,1449736.63,
Housing,Cambria County,543838.71,
Housing,Lebanon County,83967.81,
Housing,Philadelphia County,17389320.43,
Housing,Lackawanna County,126445.92,
Housing,Mercer County,359433.57,
Housing,Centre County,46165.66,
Housing,Lycoming County,52830.74,
Public Facilities,Allegheny County,9850103.82,R
Public Facilities,Beaver County,646422.83,
Public Facilities,Berks County,1525807.98,
Public Facilities,Bucks County,12075165.37,
Public Facilities,Chester County,749313.06,
Public Facilities,Cumberland County,408630.21,
Public Facilities,Dauphin County,934362.11,
Public Facilities,Delaware County,3816677.17,
Public Facilities,Lancaster County,5072246.44,
Public Facilities,Lehigh County,5904065.77,
Public Facilities,Luzerne County,2712948.16,
Public Facilities,Montgomery County,1540161.34,
Public Facilities,Northhampton County,1572697.46,
Public Facilities,Washington County,1756266.29,
Public Facilities,Westmoreland County,2037448.36,
Public Facilities,York County,1007826.69,
Public Facilities,Blair County,408708.09,
Public Facilities,Erie County,2157713.46,
Public Facilities,Cambria County,148212.16,
Public Facilities,Lebanon County,321679.38,
Public Facilities,Philadelphia County,508663,
Public Facilities,Lackawanna County,806448.47,
Public Facilities,Mercer County,148108.06,
Public Facilities,Centre County,492119,
Public Facilities,Lycoming County,729089.19,
Public Services,Allegheny County,3428201.39,R
Public Services,Beaver County,101928.5,
Public Services,Berks County,370475.34,
Public Services,Bucks County,4629694.42,
Public Services,Chester County,326503.87,
Public Services,Cumberland County,159457.82,
Public Services,Dauphin County,401369.12,
Public Services,Delaware County,785871.9,
Public Services,Lancaster County,1323516.36,
Public Services,Lehigh County,1446951.22,
Public Services,Luzerne County,1311933.58,
Public Services,Montgomery County,472880.13,
Public Services,Northhampton County,372427.02,
Public Services,Washington County,0,
Public Services,Westmoreland County,103756.79,
Public Services,York County,296274.99,
Public Services,Blair County,260665.66,
Public Services,Erie County,856735.5,
Public Services,Cambria County,18035.13,
Public Services,Lebanon County,100000,
Public Services,Philadelphia County,7210188.29,
Public Services,Lackawanna County,300849.98,
Public Services,Mercer County,88138.77,
Public Services,Centre County,76359,
Public Services,Lycoming County,9661.12,
General Administration,Allegheny County,5091101.77,R
General Administration,Beaver County,646924.25,
General Administration,Berks County,860466.01,
General Administration,Bucks County,6608153.15,
General Administration,Chester County,452405.44,
General Administration,Cumberland County,280853.7,
General Administration,Dauphin County,675598.53,
General Administration,Delaware County,1341587.11,
General Administration,Lancaster County,2025838.06,
General Administration,Lehigh County,2537575.14,
General Administration,Luzerne County,1342736.67,
General Administration,Montgomery County,1019558.27,
General Administration,Northhampton County,520174.25,
General Administration,Washington County,664059.5,
General Administration,Westmoreland County,708525.74,
General Administration,York County,719568.96,
General Administration,Blair County,287593.07,
General Administration,Erie County,1223648.86,
General Administration,Cambria County,238685.91,
General Administration,Lebanon County,111141.85,
