votes_dem,votes_gop,total_votes,per_dem,per_gop,diff,state_abbr,county_name,id,victory_margin,pop,CDBG,CDBG_per_p
14077,31249,47138,0.298633799,0.662925877,"17	172",PA,Adams County,42001,0.364292079,101767,0,0
363017,257488,643173,0.564415795,0.400340188,"105	529",PA,Allegheny County,42003,-0.164075606,1231145,30863093.69,25.1
6849,22676,30446,0.224955659,0.744794062,"15	827",PA,Armstrong County,42005,0.519838402,67979,0,0
30225,46081,79036,0.382420669,0.583038109,"15	856",PA,Beaver County,42007,0.20061744,169785,2834985.07,16.7
3613,19455,23504,0.153718516,0.82773145,"15	842",PA,Bedford County,42009,0.674012934,49086,0,0
75169,93094,175934,0.427256812,0.52914161,"17	925",PA,Berks County,42011,0.101884798,413965,4273215.02,10.3
13093,37224,52029,0.251648119,0.715447154,"24	131",PA,Blair County,42013,0.463799035,126448,1790663.84,14.2
6263,17957,25399,0.246584511,0.706996338,"11	694",PA,Bradford County,42015,0.460411827,62228,0,0
165861,163873,342572,0.484163913,0.478360753,"1	988",PA,Bucks County,42017,-0.00580316,626583,37971293.78,60.6
26834,61388,92027,0.291588338,0.6670651,"34	554",PA,Butler County,42019,0.375476762,185689,0,0
17798,40510,60167,0.295809996,0.673292669,"22	712",PA,Cambria County,42021,0.377482673,139381,1284572.43,9.2
469,1495,2024,0.231719368,0.738636364,"1	026",PA,Cameron County,42023,0.506916996,4869,0,0
8917,18714,28721,0.310469691,0.651578984,"9	797",PA,Carbon County,42025,0.341109293,64634,0,0
36555,35099,75394,0.484852906,0.465541024,"1	456",PA,Centre County,42027,-0.019311882,157823,731536.2,4.6
140188,115582,266637,0.525763491,0.433480725,"24	606",PA,Chester County,42029,-0.092282766,509797,2011391.6,3.9
4256,12545,17481,0.243464333,0.717636291,"8	289",PA,Clarion County,42031,0.474171958,39454,0,0
7700,23909,32692,0.235531629,0.731341001,"16	209",PA,Clearfield County,42033,0.495809372,81343,0,0
4533,9701,14839,0.305478806,0.653750253,"5	168",PA,Clinton County,42035,0.348271447,39614,0,0
8502,17387,27127,0.313414679,0.640948133,"8	885",PA,Columbia County,42037,0.327533454,66912,0,0
10215,23912,35563,0.287236735,0.67238422,"13	697",PA,Crawford County,42039,0.385147485,87343,0,0
44282,65649,115068,0.384833316,0.570523517,"21	367",PA,Cumberland County,42041,0.185690201,241427,1472529.49,6.1
64287,60620,130160,0.493907498,0.465734481,"3	667",PA,Dauphin County,42043,-0.028173018,271094,4074187.01,15
169169,106559,284832,0.593925542,0.374111757,"62	610",PA,Delaware County,42045,-0.219813785,561683,7749192.33,13.8
3637,9704,13854,0.262523459,0.700447524,"6	067",PA,Elk County,42047,0.437924065,31370,0,0
54820,57168,117240,0.467587854,0.487615148,"2	348",PA,Erie County,42049,0.020027294,279858,6313900.2,22.6
17826,34388,53426,0.33365777,0.643656647,"16	562",PA,Fayette County,42051,0.309998877,134851,0,0
626,1680,2398,0.261050876,0.70058382,"1	054",PA,Forest County,42053,0.439532944,7581,0,0
17322,49554,69345,0.249794506,0.714600909,"32	232",PA,Franklin County,42055,0.464806403,152285,0,0
904,5676,6743,0.134064956,0.841761827,"4	772",PA,Fulton County,42057,0.707696871,14694,0,0
4157,10394,14955,0.277967235,0.695018388,"6	237",PA,Greene County,42059,0.417051153,37938,0,0
4487,14369,19496,0.230149774,0.737022979,"9	882",PA,Huntingdon County,42061,0.506873205,45906,0,0
11468,24920,37728,0.303965225,0.660517388,"13	452",PA,Indiana County,42063,0.356552163,87895,0,0
3437,14533,18551,0.185273031,0.783407903,"11	096",PA,Jefferson County,42065,0.598134871,44756,0,0
1810,8234,10402,0.174004999,0.791578543,"6	424",PA,Juniata County,42067,0.617573544,24829,0,0
51593,48102,102740,0.502170528,0.468191551,"3	491",PA,Lackawanna County,42069,-0.033978976,213459,2126832.92,10
90066,137145,239151,0.376607248,0.573466136,"47	079",PA,Lancaster County,42071,0.196858888,530216,12460335.61,23.5
13933,25323,40555,0.343558131,0.624411293,"11	390",PA,Lawrence County,42073,0.280853162,89162,0,0
17860,38804,58906,0.303194921,0.65874444,"20	944",PA,Lebanon County,42075,0.35554952,135776,616789.04,4.5
77087,70285,153031,0.503734537,0.459286027,"6	802",PA,Lehigh County,42077,-0.04444851,356756,14928079.32,41.8
51454,77508,132731,0.387656237,0.583947985,"26	054",PA,Luzerne County,42079,0.196291748,320095,6264099.85,19.6
12926,35475,50294,0.257008788,0.705352527,"22	549",PA,Lycoming County,42081,0.448343739,116656,1000137.66,8.6
3802,11159,15572,0.244156178,0.71660673,"7	357",PA,McKean County,42083,0.472450552,42884,0,0
17631,30034,49594,0.355506715,0.605597451,"12	403",PA,Mercer County,42085,0.250090737,115320,748945.39,6.5
3563,14050,18239,0.195350622,0.770327321,"10	487",PA,Mifflin County,42087,0.574976698,46675,0,0
31930,31706,65944,0.484198714,0.480801893,224,PA,Monroe County,42089,-0.003396822,167881,0,0
251063,160803,427489,0.587296983,0.376157047,"90	260",PA,Montgomery County,42091,-0.211139936,812970,4326220.72,5.3
2851,5274,8535,0.334036321,0.617926186,"2	423",PA,Montour County,42093,0.283889865,18508,0,0
65936,71384,142775,0.461817545,0.499975486,"5	448",PA,Northampton County,42095,0.038157941,299616,3509494.86,11.7
9184,24418,34971,0.262617597,0.698235681,"15	234",PA,Northumberland County,42097,0.435618084,94006,0,0
4630,15613,21153,0.218881483,0.738098615,"10	983",PA,Perry County,42099,0.519217132,45677,0,0
560542,105418,680227,0.824051383,0.154974736,"455	124",PA,Philadelphia County,42101,-0.669076646,1555072,47628967.54,30.6
9247,16035,26066,0.354753318,0.615169186,"6	788",PA,Pike County,42103,0.260415867,56632,0,0
1300,6247,7777,0.167159573,0.803266041,"4	947",PA,Potter County,42105,0.636106468,17377,0,0
16724,43937,62750,0.266517928,0.700191235,"27	213",PA,Schuylkill County,42107,0.433673307,146360,0,0
3991,11710,16333,0.244351926,0.716953407,"7	719",PA,Snyder County,42109,0.472601482,40046,0,0
7367,27347,35730,0.206185278,0.765379233,"19	980",PA,Somerset County,42111,0.559193955,76617,0,0
756,2318,3168,0.238636364,0.731691919,"1	562",PA,Sullivan County,42113,0.493055556,6381,0,0
5065,13295,19200,0.263802083,0.692447917,"8	230",PA,Susquehanna County,42115,0.428645833,42369,0,0
3642,12928,17334,0.210107304,0.745817469,"9	286",PA,Tioga County,42117,0.535710165,42284,0,0
6138,10605,17400,0.352758621,0.609482759,"4	467",PA,Union County,42119,0.256724138,44958,0,0
5889,15254,22096,0.266518827,0.690351195,"9	365",PA,Venango County,42121,0.423832368,53906,0,0
4828,12032,17624,0.273944621,0.682705402,"7	204",PA,Warren County,42123,0.408760781,40962,0,0
34436,58941,96945,0.355211718,0.607983908,"24	505",PA,Washington County,42125,0.25277219,208226,4117224.55,19.8
6398,15269,22365,0.286071987,0.682718533,"8	871",PA,Wayne County,42127,0.396646546,51642,0,0
59506,116427,181740,0.327423792,0.640623968,"56	921",PA,Westmoreland County,42129,0.313200176,361251,3188826.7,8.8
3573,8375,12418,0.287727492,0.674424223,"4	802",PA,Wyoming County,42131,0.386696731,28147,0,0
67428,126933,203153,0.331907479,0.624814795,"59	505",PA,York County,42133,0.292907316,439660,3222286.84,7.3
