county_name	victory_margin	pop	CDBG	CDBG_per_p
Adams County	0.364292079	101767	0	0.0
Allegheny County	-0.164075606	1231145	30863093.69	25.1
Armstrong County	0.519838402	67979	0	0.0
Beaver County	0.20061744	169785	2834985.07	16.7
Bedford County	0.674012934	49086	0	0.0
Berks County	0.101884798	413965	4273215.02	10.3
Blair County	0.463799035	126448	1790663.84	14.2
Bradford County	0.460411827	62228	0	0.0
Bucks County	-0.00580316	626583	37971293.78	60.6
Butler County	0.375476762	185689	0	0.0
Cambria County	0.377482673	139381	1284572.43	9.2
Cameron County	0.506916996	4869	0	0.0
Carbon County	0.341109293	64634	0	0.0
Centre County	-0.019311882	157823	731536.2	4.6
Chester County	-0.092282766	509797	2011391.6	3.9
Clarion County	0.474171958	39454	0	0.0
Clearfield County	0.495809372	81343	0	0.0
Clinton County	0.348271447	39614	0	0.0
Columbia County	0.327533454	66912	0	0.0
Crawford County	0.385147485	87343	0	0.0
Cumberland County	0.185690201	241427	1472529.49	6.1
Dauphin County	-0.028173018	271094	4074187.01	15.0
Delaware County	-0.219813785	561683	7749192.33	13.8
Elk County	0.437924065	31370	0	0.0
Erie County	0.020027294	279858	6313900.2	22.6
Fayette County	0.309998877	134851	0	0.0
Forest County	0.439532944	7581	0	0.0
Franklin County	0.464806403	152285	0	0.0
Fulton County	0.707696871	14694	0	0.0
Greene County	0.417051153	37938	0	0.0
Huntingdon County	0.506873205	45906	0	0.0
Indiana County	0.356552163	87895	0	0.0
Jefferson County	0.598134871	44756	0	0.0
Juniata County	0.617573544	24829	0	0.0
Lackawanna County	-0.033978976	213459	2126832.92	10.0
Lancaster County	0.196858888	530216	12460335.61	23.5
Lawrence County	0.280853162	89162	0	0.0
Lebanon County	0.35554952	135776	616789.04	4.5
Lehigh County	-0.04444851	356756	14928079.32	41.8
Luzerne County	0.196291748	320095	6264099.85	19.6
Lycoming County	0.448343739	116656	1000137.66	8.6
McKean County	0.472450552	42884	0	0.0
Mercer County	0.250090737	115320	748945.39	6.5
Mifflin County	0.574976698	46675	0	0.0
Monroe County	-0.003396822	167881	0	0.0
Montgomery County	-0.211139936	812970	4326220.72	5.3
Montour County	0.283889865	18508	0	0.0
Northampton County	0.038157941	299616	3509494.86	11.7
Northumberland County	0.435618084	94006	0	0.0
Perry County	0.519217132	45677	0	0.0
Philadelphia County	-0.669076646	1555072	47628967.54	30.6
Pike County	0.260415867	56632	0	0.0
Potter County	0.636106468	17377	0	0.0
Schuylkill County	0.433673307	146360	0	0.0
Snyder County	0.472601482	40046	0	0.0
Somerset County	0.559193955	76617	0	0.0
Sullivan County	0.493055556	6381	0	0.0
Susquehanna County	0.428645833	42369	0	0.0
Tioga County	0.535710165	42284	0	0.0
Union County	0.256724138	44958	0	0.0
Venango County	0.423832368	53906	0	0.0
Warren County	0.408760781	40962	0	0.0
Washington County	0.25277219	208226	4117224.55	19.8
Wayne County	0.396646546	51642	0	0.0
Westmoreland County	0.313200176	361251	3188826.7	8.8
Wyoming County	0.386696731	28147	0	0.0
York County	0.292907316	439660	3222286.84	7.3
