county_name	victory_margin	pop	CDBG	CDBG_per_p
Adams County	0.364292079		0	
Allegheny County	-0.164075606		30863093.69	
Armstrong County	0.519838402		0	
Beaver County	0.20061744		2834985.07	
Bedford County	0.674012934		0	
Berks County	0.101884798		4273215.02	
Blair County	0.463799035		1790663.84	
Bradford County	0.460411827		0	
Bucks County	-0.00580316		37971293.78	
Butler County	0.375476762		0	
Cambria County	0.377482673		1284572.43	
Cameron County	0.506916996		0	
Carbon County	0.341109293		0	
Centre County	-0.019311882		731536.2	
Chester County	-0.092282766		2011391.6	
Clarion County	0.474171958		0	
Clearfield County	0.495809372		0	
Clinton County	0.348271447		0	
Columbia County	0.327533454		0	
Crawford County	0.385147485		0	
Cumberland County	0.185690201		1472529.49	
Dauphin County	-0.028173018		4074187.01	
Delaware County	-0.219813785		7749192.33	
Elk County	0.437924065		0	
Erie County	0.020027294		6313900.2	
Fayette County	0.309998877		0	
Forest County	0.439532944		0	
Franklin County	0.464806403		0	
Fulton County	0.707696871		0	
Greene County	0.417051153		0	
Huntingdon County	0.506873205		0	
Indiana County	0.356552163		0	
Jefferson County	0.598134871		0	
Juniata County	0.617573544		0	
Lackawanna County	-0.033978976		2126832.92	
Lancaster County	0.196858888		12460335.61	
Lawrence County	0.280853162		0	
Lebanon County	0.35554952		616789.04	
Lehigh County	-0.04444851		14928079.32	
Luzerne County	0.196291748		6264099.85	
Lycoming County	0.448343739		1000137.66	
McKean County	0.472450552		0	
Mercer County	0.250090737		748945.39	
Mifflin County	0.574976698		0	
Monroe County	-0.003396822		0	
Montgomery County	-0.211139936		4326220.72	
Montour County	0.283889865		0	
Northampton County	0.038157941		3509494.86	
Northumberland County	0.435618084		0	
Perry County	0.519217132		0	
Philadelphia County	-0.669076646		47628967.54	
Pike County	0.260415867		0	
Potter County	0.636106468		0	
Schuylkill County	0.433673307		0	
Snyder County	0.472601482		0	
Somerset County	0.559193955		0	
Sullivan County	0.493055556		0	
Susquehanna County	0.428645833		0	
Tioga County	0.535710165		0	
Union County	0.256724138		0	
Venango County	0.423832368		0	
Warren County	0.408760781		0	
Washington County	0.25277219		4117224.55	
Wayne County	0.396646546		0	
Westmoreland County	0.313200176		3188826.7	
Wyoming County	0.386696731		0	
York County	0.292907316		3222286.84	
